tag,K,E0_rot,cam_angle,baseline_m,s,overlap_frac,spacing_mm,overlap_med_mm,overlap_pct,gt_angle,rot_err,dir_err,baseline_ratio,metric_ratio,corner3d_mm,corner_gt_mm
20260913_232111,calib,0.0,38.95637893676758,0.12519419975395776,1.9995148612594997,0.48330389435612753,7.649790854562733,103.64914476377635,4.856051093222993,,,,,,,
20260913_232111,da3,0.0,38.95637893676758,0.10003909293510915,1.597754955291748,0.5443266885356212,7.59281,59.83523864059696,3.5082568504185536,,,,,,,
20260913_232159,calib,0.02797645330429077,24.197467803955078,0.10963332452510688,1.9272243608214543,0.8509139694784504,7.84358598176239,52.212148485806644,2.385744817192077,,,,,,,
20260913_232159,da3,0.02797645330429077,24.197467803955078,0.09034817214332946,1.5882141590118408,0.8786265302699984,7.733704,43.54526098588383,2.41445182672269,,,,,,,
20260913_232314,calib,0.0,25.603073120117188,0.12253170810590185,1.585873864125451,0.3909335349970591,6.029052161861104,14.567806348336818,0.8659886593028243,,,,,,,
20260913_232314,da3,0.0,25.603073120117188,0.11177737816857558,1.4466853141784668,0.39509284934039157,6.0119495,11.235265866520383,0.7321445761033307,,,,,,,
20260913_232900,calib,0.0,65.35404968261719,0.5587689042558106,1.0604626808460518,0.7302081143577885,2.7914486711042077,16.495498782086187,2.1178875229994993,,,,,,,
20260913_232900,da3,0.0,65.35404968261719,0.5162830274710828,0.9798306226730347,0.7258776539836032,2.780307,22.297059014115263,3.098356177090516,,,,,,,
20260913_232946,calib,0.0,71.74263763427734,0.694819386279686,0.7771267857710664,0.8361823361823362,2.645571789572836,11.235124310125201,1.5220377264443878,,,,,,,
20260913_232946,da3,0.0,71.74263763427734,0.6510365755360681,0.7281575202941895,0.8564186358304006,2.6392503,12.796321361827589,1.8501166952682897,,,,,,,
20260913_233017,calib,0.0,77.20581817626953,0.7326618945549087,0.9608474183509674,0.8271196380697051,2.741330362509574,19.840591242506292,2.5939423506172443,,,,,,,
20260913_233017,da3,0.0,77.20581817626953,0.6131437208193375,0.8041056394577026,0.8557305630026809,2.7368703,16.962933056587964,2.6500270448068983,,,,,,,
20260913_233058,calib,0.0,57.9564208984375,0.6186041288590642,0.8357359692912592,0.860324397008152,2.8051581388463647,15.657735112759855,2.0005005661623376,,,,,,,
20260913_233058,da3,0.0,57.9564208984375,0.5238643207435985,0.7077422142028809,0.8640221867383814,2.789849,11.422385914688045,1.7233151015377697,,,,,,,
